Fecha del reporte,Personal,Cantidad,Dosis,Fuente,Minuto,Vacuna,Link,Notas
24/02/2021,Personas adultas mayores,737195,1,Youtube,13,NA,https://www.youtube.com/watch?v=a6MzKv65SGU,
24/02/2021,Personal educativo,17463,1,Youtube,13,NA,https://www.youtube.com/watch?v=a6MzKv65SGU,
24/02/2021,Personal de la salud,475389,2,Youtube,13,NA,https://www.youtube.com/watch?v=a6MzKv65SGU,
24/02/2021,Personal de la salud,670737,1,Youtube,13,NA,https://www.youtube.com/watch?v=a6MzKv65SGU,
23/02/2021,Personas adultas mayores,653946,1,Youtube,14,NA,https://www.youtube.com/watch?v=dK6FNO-x8sY,
23/02/2021,Personal educativo,17463,1,Youtube,14,NA,https://www.youtube.com/watch?v=dK6FNO-x8sY,
23/02/2021,Personal de la salud,464302,2,Youtube,14,NA,https://www.youtube.com/watch?v=dK6FNO-x8sY,
23/02/2021,Personal de la salud,665445,1,Youtube,14,NA,https://www.youtube.com/watch?v=dK6FNO-x8sY,
22/02/2021,Personas adultas mayores,608275,1,Youtube,19,NA,https://www.youtube.com/watch?v=5vvPJrglVqo,
22/02/2021,Personal educativo,17463,1,Youtube,19,NA,https://www.youtube.com/watch?v=5vvPJrglVqo,
22/02/2021,Personal de la salud,456217,2,Youtube,19,NA,https://www.youtube.com/watch?v=5vvPJrglVqo,
22/02/2021,Personal de la salud,651449,1,Youtube,19,NA,https://www.youtube.com/watch?v=5vvPJrglVqo,
21/02/2021,Personas adultas mayores,567826,1,Youtube,29,NA,https://www.youtube.com/watch?v=zZgwc6e6kyI,
21/02/2021,Personal educativo,17463,1,Youtube,28,NA,https://www.youtube.com/watch?v=zZgwc6e6kyI,
21/02/2021,Personal de la salud,453055,2,Youtube,28,Pfizer-Biotech,https://www.youtube.com/watch?v=zZgwc6e6kyI,Aquí si dicen que fue Pfizer
21/02/2021,Personal de la salud,650814,1,Youtube,27,NA,https://www.youtube.com/watch?v=zZgwc6e6kyI,
20/02/2021,Personas adultas mayores,545261,1,Youtube,18,NA,https://www.youtube.com/watch?v=nXl6M8vm-s8,
20/02/2021,Personal educativo,17463,1,Youtube,18,NA,https://www.youtube.com/watch?v=nXl6M8vm-s8,
20/02/2021,Personal de la salud,445418,2,Youtube,18,NA,https://www.youtube.com/watch?v=nXl6M8vm-s8,
20/02/2021,Personal de la salud,648162,1,Youtube,18,NA,https://www.youtube.com/watch?v=nXl6M8vm-s8,
19/02/2021,Personas adultas mayores,502826,1,Youtube,28,NA,https://www.youtube.com/watch?v=KNTmtozwgT4,
19/02/2021,Personal educativo,17463,1,Youtube,28,NA,https://www.youtube.com/watch?v=KNTmtozwgT4,
19/02/2021,Personal de la salud,418931,2,Youtube,28,NA,https://www.youtube.com/watch?v=KNTmtozwgT4,
19/02/2021,Personal de la salud,634938,1,Youtube,28,NA,https://www.youtube.com/watch?v=KNTmtozwgT4,Anuncian que van a llegar más vacunas pero no dicen de cuales
18/02/2021,Personas adultas mayores,426494,1,Youtube,16,NA,https://www.youtube.com/watch?v=muC2iw7YwKw,
18/02/2021,Personal educativo,17463,1,Youtube,16,NA,https://www.youtube.com/watch?v=muC2iw7YwKw,
18/02/2021,Personal de la salud,249217,2,Youtube,16,NA,https://www.youtube.com/watch?v=muC2iw7YwKw,
18/02/2021,Personal de la salud,624881,1,Youtube,16,NA,https://www.youtube.com/watch?v=muC2iw7YwKw,
17/02/2021,Personas adultas mayores,318358,1,Youtube,18,NA,https://www.youtube.com/watch?v=XgTgtzaMB5I&t=1077s,
17/02/2021,Personal educativo,17457,1,Youtube,18,NA,https://www.youtube.com/watch?v=XgTgtzaMB5I&t=1077s,
17/02/2021,Personal de la salud,99666,2,Youtube,17,NA,https://www.youtube.com/watch?v=XgTgtzaMB5I&t=1077s,
17/02/2021,Personal de la salud,622658,1,Youtube,17,NA,https://www.youtube.com/watch?v=XgTgtzaMB5I,
16/02/2021,Personas adultas mayores,189070,1,Youtube,20,NA,https://www.youtube.com/watch?v=oNBQXmxAqME,
16/02/2021,Personal educativo,17457,1,Youtube,20,NA,https://www.youtube.com/watch?v=oNBQXmxAqME,
16/02/2021,Personal de la salud,86198,2,Youtube,20,NA,https://www.youtube.com/watch?v=oNBQXmxAqME,
16/02/2021,Personal de la salud,622658,1,Youtube,20,NA,https://www.youtube.com/watch?v=oNBQXmxAqME,
15/02/2021,Personas adultas mayores,23369,1,Youtube,19,NA,https://www.youtube.com/watch?v=X3hcWA2jPPo,
15/02/2021,Personal educativo,17457,1,Youtube,19,NA,https://www.youtube.com/watch?v=X3hcWA2jPPo,
15/02/2021,Personal de salud,86198,2,Youtube,19,NA,https://www.youtube.com/watch?v=X3hcWA2jPPo,
15/02/2021,Personal de salud,622658,1,Youtube,19,NA,https://www.youtube.com/watch?v=X3hcWA2jPPo,
14/02/2021,Personal educativo,17457,1,Youtube,13,Pfizer-Biotech,https://www.youtube.com/watch?v=VnFNjO4k3pM,
14/02/2021,Personal de salud,86198,2,Youtube,13,Pfizer-Biotech,https://www.youtube.com/watch?v=VnFNjO4k3pM,
14/02/2021,Personal de salud,622658,1,Youtube,13,Pfizer-Biotech,https://www.youtube.com/watch?v=VnFNjO4k3pM,
13/02/2021,Personal educativo,17457,1,Youtube,13,Pfizer-Biotech,https://www.youtube.com/watch?v=1GoCOdm-Fyk,
13/02/2021,Personal de salud,86198,2,Youtube,13,Pfizer-Biotech,https://www.youtube.com/watch?v=1GoCOdm-Fyk,
13/02/2021,Personal de salud,622658,1,Youtube,13,Pfizer-Biotech,https://www.youtube.com/watch?v=1GoCOdm-Fyk,
12/02/2021,Personal educativo,17457,1,Youtube,17,Pfizer-Biotech,https://www.youtube.com/watch?v=Ff4d82K1DJg,
12/02/2021,Personal de salud,85887,2,Youtube,17,Pfizer-Biotech,https://www.youtube.com/watch?v=Ff4d82K1DJg,
12/02/2021,Personal de salud,622658,1,Youtube,17,Pfizer-Biotech,https://www.youtube.com/watch?v=Ff4d82K1DJg,
11/02/2021,Personal educativo,17457,1,Youtube,17,Pfizer-Biotech,https://www.youtube.com/watch?v=zK69Q-Fu-UI,
11/02/2021,Personal de salud,85332,2,Youtube,17,Pfizer-Biotech,https://www.youtube.com/watch?v=zK69Q-Fu-UI,
11/02/2021,Personal de salud,622658,1,Youtube,17,Pfizer-Biotech,https://www.youtube.com/watch?v=zK69Q-Fu-UI,
09/02/2021,Personal educativo,17457,1,Youtube,17,Pfizer-Biotech,https://www.youtube.com/watch?v=qAsBETD9XX0,
09/02/2021,Personal de la salud,84218,2,Youtube,17,Pfizer-Biotech,https://www.youtube.com/watch?v=qAsBETD9XX0,
09/02/2021,Personal de la salud,622672,1,Youtube,17,Pfizer-Biotech,https://www.youtube.com/watch?v=qAsBETD9XX0,
08/02/2021,Personal educativo,17457,1,Youtube,27,Pfizer-Biotech,https://www.youtube.com/watch?v=CyDgt3Uwfls,
08/02/2021,Personal de la salud,79429,2,Youtube,27,Pfizer-Biotech,https://www.youtube.com/watch?v=CyDgt3Uwfls,
08/02/2021,Personal de la salud,620934,1,Youtube,27,Pfizer-Biotech,https://www.youtube.com/watch?v=CyDgt3Uwfls,
07/02/2021,Personal educativo,17457,1,Youtube,8,Pfizer-Biotech,https://www.youtube.com/watch?v=hg4BkHVBk48,
07/02/2021,Personal de la salud,74836,2,Youtube,8,Pfizer-Biotech,https://www.youtube.com/watch?v=hg4BkHVBk48,
07/02/2021,Personal de la salud,620224,1,Youtube,8,Pfizer-Biotech,https://www.youtube.com/watch?v=hg4BkHVBk48,
06/02/2021,Personal educativo,17457,1,Youtube,14,Pfizer-Biotech,https://www.youtube.com/watch?v=hC8eJxui-JQ,
06/02/2021,Personal de la salud,73100,2,Youtube,14,Pfizer-Biotech,https://www.youtube.com/watch?v=hC8eJxui-JQ,
06/02/2021,Personal de la salud,619641,1,Youtube,14,Pfizer-Biotech,https://www.youtube.com/watch?v=hC8eJxui-JQ,
05/02/2021,Personal educativo,17457,1,Youtube,26,Pfizer-Biotech,https://www.youtube.com/watch?v=HYbHAv9O_Hw,
05/02/2021,Personal de la salud,64246,2,Youtube,26,Pfizer-Biotech,https://www.youtube.com/watch?v=HYbHAv9O_Hw,
05/02/2021,Personal de la salud,618613,1,Youtube,26,Pfizer-Biotech,https://www.youtube.com/watch?v=HYbHAv9O_Hw,
04/02/2021,Personal educativo,0,2,Youtube,12,Pfizer-Biotech,https://www.youtube.com/watch?v=MRwCssOdUDo,
04/02/2021,Personal educativo,17058,1,Youtube,12,Pfizer-Biotech,https://www.youtube.com/watch?v=MRwCssOdUDo,
04/02/2021,Personal de la salud,617288,1,Youtube,12,Pfizer-Biotech,https://www.youtube.com/watch?v=MRwCssOdUDo,
04/02/2021,Personal de la salud,60742,2,Youtube,12,Pfizer-Biotech,https://www.youtube.com/watch?v=MRwCssOdUDo,
03/02/2021,Personal de la salud,615381,1,Youtube,23,Pfizer-Biotech,https://www.youtube.com/watch?v=ipbY8jybklo&feature=youtu.be,
03/02/2021,Personal de la salud,54162,2,Youtube,23,Pfizer-Biotech,https://www.youtube.com/watch?v=ipbY8jybklo&feature=youtu.be,
03/02/2021,Personal educativo,17058,1,Youtube,23,Pfizer-Biotech,https://www.youtube.com/watch?v=ipbY8jybklo&feature=youtu.be,
